0.	0.
0.02	2.0966241375376836e-14
0.04	4.183709534770841e-14
0.06	6.251932912990561e-14
0.08	8.2923906734957e-14
0.1	1.0296781672216242e-13
0.12	1.2257560285523164e-13
0.14	1.4168054062069756e-13
0.16	1.60225431044199e-13
0.18	1.781630112148148e-13
0.2	1.954560054727239e-13
0.22	2.1207686029627223e-13
0.24	2.2800721853433615e-13
0.26	2.4323719473723135e-13
0.28	2.5776451368059255e-13
0.3	2.715935699729512e-13
0.32	2.8473445931030946e-13
0.34	2.972020228749917e-13
0.36	3.0901493675972655e-13
0.38	3.2019486903959203e-13
0.4	3.3076571882447545e-13
0.42	3.4075294464250887e-13
0.44	3.501829839512544e-13
0.46	3.590827614107408e-13
0.48	3.6747928064233103e-13
0.5	3.7539929234835365e-13
0.52	3.828690306707692e-13
0.54	3.899140093213567e-13
0.56	3.965588691406398e-13
0.58	4.028272691894141e-13
0.6	4.087418141134576e-13
0.62	4.143240112773555e-13
0.64	4.195942519397842e-13
0.66	4.245718115192492e-13
0.68	4.292748647288001e-13
0.7000000000000001	4.337205120285493e-13
0.72	4.3792481444513436e-13
0.74	4.4190283433496937e-13
0.76	4.4566868012478936e-13
0.78	4.49235553452975e-13
0.8	4.526157974642916e-13
0.8200000000000001	4.558209452855939e-13
0.84	4.588617679374693e-13
0.86	4.617483211231693e-13
0.88	4.644899904875685e-13
0.9	4.670955350607228e-13
0.92	4.695731286977128e-13
0.9400000000000001	4.719303994030512e-13
0.96	4.741744664876318e-13
0.98	4.763119755520941e-13
1.	4.783491313251464e-13
1.02	4.802917284110356e-13
1.04	4.821451800187464e-13
1.06	4.839145447581828e-13
1.08	4.856045515967206e-13
1.1	4.872196230741359e-13
1.12	4.887638968758205e-13
1.1400000000000001	4.902412458635026e-13
1.16	4.916552966644919e-13
1.18	4.930094469077462e-13
1.2	4.943068812070608e-13
1.22	4.955505859727411e-13
1.24	4.967433631370814e-13
1.26	4.978878428716683e-13
1.28	4.989864953701906e-13
1.3	5.000416417657893e-13
1.32	5.010554642474272e-13
1.34	5.020300154353652e-13
1.36	5.029672270716076e-13
1.3800000000000001	5.038689180771774e-13
1.4000000000000001	5.047368020242822e-13
1.42	5.055724940678651e-13
1.44	5.063775173776831e-13
1.46	5.071533091089302e-13
1.48	5.07901225946507e-13
1.5	5.086225492553274e-13
1.52	5.093184898665421e-13
1.54	5.099901925272272e-13
1.56	5.106387400389377e-13
1.58	5.112651571085327e-13
1.6	5.118704139328465e-13
1.62	5.124554295370883e-13
1.6400000000000001	5.130210748852933e-13
1.6600000000000001	5.135681757797117e-13
1.68	5.140975155647034e-13
1.7	5.146098376494877e-13
1.72	5.151058478629824e-13
1.74	5.155862166529342e-13
1.76	5.160515811405989e-13
1.78	5.165025470413624e-13
1.8	5.169396904608878e-13
1.82	5.173635595756436e-13
1.84	5.177746762059924e-13
1.86	5.181735372893904e-13
1.8800000000000001	5.185606162606848e-13
1.9000000000000001	5.189363643459646e-13
1.92	5.193012117759342e-13
1.94	5.19655568924339e-13
1.96	5.199998273765548e-13
1.98	5.203343609330824e-13
2.	5.206595265523295e-13
2.02	5.20975665236752e-13
2.04	5.212831028661235e-13
2.06	5.215821509814321e-13
2.08	5.218731075226498e-13
2.1	5.221562575233864e-13
2.12	5.224318737652304e-13
2.14	5.227002173943758e-13
2.16	5.2296153850295e-13
2.18	5.232160766772953e-13
2.2	5.234640615152916e-13
2.22	5.237057131146704e-13
2.24	5.239412425341304e-13
2.2600000000000002	5.241708522289443e-13
2.2800000000000002	5.24394736462102e-13
2.3000000000000003	5.246130816955361e-13
2.32	5.248260669553347e-13
2.34	5.250338641818729e-13
2.36	5.252366385590259e-13
2.38	5.254345488263108e-13
2.4	5.256277475745513e-13
2.42	5.258163815260426e-13
2.44	5.260005918001193e-13
2.46	5.26180514164985e-13
2.48	5.263562792765917e-13
2.5	5.265280129053206e-13
2.52	5.266958361511591e-13
2.54	5.268598656480284e-13
2.56	5.270202137578756e-13
2.58	5.271769887551047e-13
2.6	5.273302950018853e-13
2.62	5.274802331148478e-13
2.64	5.276269001236344e-13
2.66	5.277703896217586e-13
2.68	5.279107919101882e-13
2.7	5.28048194134048e-13
2.72	5.28182680412809e-13
2.74	5.283143319643191e-13
2.7600000000000002	5.28443227222995e-13
2.7800000000000002	5.285694419524906e-13
2.8000000000000003	5.286930493531279e-13
2.82	5.288141201643661e-13
2.84	5.289327227625672e-13
2.86	5.290489232542977e-13
2.88	5.291627855654002e-13
2.9	5.292743715260466e-13
2.92	5.293837409519798e-13
2.94	5.294909517221351e-13
2.96	5.295960598528215e-13
2.98	5.296991195686385e-13
3.	5.29800183370284e-13
3.02	5.298993020994149e-13
3.04	5.299965250006958e-13
3.06	5.300918997811819e-13
3.08	5.301854726671567e-13
3.1	5.302772884585557e-13
3.12	5.303673905810838e-13
3.14	5.304558211361436e-13
3.16	5.305426209486727e-13
3.18	5.306278296129938e-13
3.2	5.30711485536764e-13
3.22	5.307936259831206e-13
3.24	5.308742871110998e-13
3.2600000000000002	5.309535040144118e-13
3.2800000000000002	5.310313107586467e-13
3.3000000000000003	5.311077404169825e-13
3.3200000000000003	5.311828251044647e-13
3.34	5.312565960109209e-13
3.36	5.313290834325706e-13
3.38	5.314003168023909e-13
3.4	5.314703247192941e-13
3.42	5.315391349761638e-13
3.44	5.316067745868092e-13
3.46	5.316732698118753e-13
3.48	5.317386461837618e-13
3.5	5.3180292853059e-13
3.52	5.318661409992605e-13
3.54	5.319283070776379e-13
3.56	5.319894496159032e-13
